Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_0035	32830	33423	+	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	K02428	COG0127	F
DLM_0036	33420	34661	+	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	K02495	  	H
DLM_0037	34662	35045	+	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	K09022	tdcF	J
DLM_0038	35189	35617	+	mitogen-activated protein kinase kinase kinase kinase 4 [EC:2.7.11.1]	K04407/K07496	  	  
DLM_0039	35630	36466	+	"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	K06998	COG0384	R
DLM_0040	36565	36999	+		  	COG4731	S
DLM_0041	37078	39126	+	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	K03655	recG	LK
DLM_0042	39391	40857	-	low-affinity inorganic phosphate transporter	K16322	pitA	P
DLM_0043	41109	41873	-	phosphate transport system ATP-binding protein [EC:7.3.2.1]	K02036	pstB	P
DLM_0044	41886	42797	-	phosphate transport system permease protein	K02038	pstA	P
DLM_0045	42813	43775	-	phosphate transport system permease protein	K02037	pstC	P
DLM_0046	43893	44933	-	phosphate transport system substrate-binding protein	K02040	pstS	P
DLM_0047	45097	45843	+	triosephosphate isomerase (TIM) [EC:5.3.1.1]	K01803	tpiA	G
DLM_0049	46390	46746	+	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	K00330	  	C
DLM_0050	46737	47213	+	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	K00331	  	C
DLM_0051	47225	47821	+	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	K00332	  	C
DLM_0052	47814	49067	+	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	K00333	nuoD	C
DLM_0053	49067	49567	+	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	K00334	nuoE	C
DLM_0054	49567	50862	+	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	K00335	  	C
DLM_0055	50866	53220	+	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	K00336	  	C
DLM_0056	53224	54270	+	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	K00337	nuoH	C
DLM_0057	54288	54776	+	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	K00338	  	C
DLM_0058	54786	55430	+	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	K00339	nuoJ	C
DLM_0059	55457	55762	+	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	K00340	  	C
DLM_0060	55798	57828	+	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	K00341	nuoL	CP
DLM_0061	57872	59368	+	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	K00342	nuoM	C
DLM_0062	59392	60846	+	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	K00343	nuoN	C
DLM_0063	60862	61158	+		  	  	  
DLM_0064	61381	62247	-	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	K02517	htrB	M
DLM_0065	62244	63014	-	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	K02517	htrB	M
DLM_0066	63215	64384	+	S-adenosylmethionine synthetase [EC:2.5.1.6]	K00789	metK	H
DLM_0067	64532	65842	-	"ammonium transporter, Amt family"	K03320	amtB	P
DLM_0068	65873	66211	-	nitrogen regulatory protein P-II 2	K04752	glnK	E
DLM_0069	66480	66767	+	ubiquinone biosynthesis accessory factor UbiK	K09806	  	S
DLM_0070	66774	68273	+	magnesium chelatase family protein	K07391	COG0606	O
DLM_0071	68347	69099	+	DedD protein	K03749	ftsN	D
DLM_0072	69105	69743	+	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]	K03673	dsbG	O
DLM_0074	70147	71517	-	adenylosuccinate lyase [EC:4.3.2.2]	K01756	purB	F
DLM_0075	71584	72486	-		  	  	  
DLM_0076	72534	73889	-	signal recognition particle subunit SRP54 [EC:3.6.5.4]	K03106	  	U
DLM_0077	73998	74819	+		  	COG4137	R
DLM_0078	74868	75227	+	competence protein ComEA	K02237	comEA	L
DLM_0079	75284	76420	-	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	K01669	phrB	L
DLM_0080	77017	78099	+	major outer membrane protein P.IB	K18133	ompC	M
DLM_0081	78297	80009	+	type IV pilus assembly protein PilB	K02652	pulE	NU
DLM_0082	80030	81250	+	type IV pilus assembly protein PilC	K02653	pulF	NU
DLM_0083	81253	82121	+	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	K02654	pulO	NOU
DLM_0084	82111	82722	+	dephospho-CoA kinase [EC:2.7.1.24]	K00859	  	H
DLM_0085	82762	83520	+	cell division protein ZapD	K18778	COG4582	S
DLM_0086	83526	83723	+	uncharacterized protein	K09862	COG3024	S
DLM_0087	83779	85020	-	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	K01448	amiC	M
DLM_0088	84978	85472	-	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	K06925	  	R
DLM_0089	85473	86561	+	epoxyqueuosine reductase [EC:1.17.99.6]	K18979	COG1600	C
DLM_0090	86628	87098	-		  	COG1247	M
DLM_0091	87095	87514	-	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	K17865	maoC	I
DLM_0092	87810	88505	+	electron transfer flavoprotein beta subunit	K03521	  	C
DLM_0093	88509	89441	+	electron transfer flavoprotein alpha subunit	K03522	fixB	C
DLM_0094	89657	91438	+	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]	K20035	caiA	I
DLM_0095	91710	92813	+	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	K01956	carA	EF
DLM_0096	92837	93493	+	leucine efflux protein	K11250	rhtB	E
DLM_0097	93520	96729	+	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	K01955	purH	F
DLM_0098	96897	97373	+	transcription elongation factor GreA	K03624	COG0782	K
DLM_0099	97431	97859	+		  	  	  
DLM_0100	97957	98289	-	RNA-binding protein	K07574	  	J
DLM_0101	98427	99044	+	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	K02427	ftsJ	J
DLM_0102	99125	101035	+	cell division protease FtsH [EC:3.4.24.-]	K03798	hflB	O
DLM_0103	101053	101946	+	dihydropteroate synthase [EC:2.5.1.15]	K00796	folP	H
DLM_0104	102096	103430	+	phosphoglucosamine mutase [EC:5.4.2.10]	K03431	  	G
DLM_0105	103497	104546	-	alanine racemase [EC:5.1.1.1]	K01775	alr	M
DLM_0106	104681	105310	+	membrane-associated protein	K03975	dedA	S
DLM_0107	105371	105697	-	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]	K03772/K01802	fkpA	O
DLM_0108	105923	106639	+		  	COG5473	S
DLM_0109	106650	107699	+	glycerate dehydrogenase [EC:1.1.1.29]	K00018	ldhA	CHR
DLM_0110	107674	108153	-		  	  	  
DLM_0111	108212	108706	+	glutathione peroxidase [EC:1.11.1.9]	K00432	btuE	O
DLM_0112	108834	109514	-	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	K03439	COG0220	R
DLM_0113	109551	110468	-		  	wcaG	MG
DLM_0114	110453	110566	-	secreted frizzled-related protein 1	K02166	  	  
DLM_0115	110528	111544	+	"CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"	K00523	fdx	C
DLM_0116	111796	111933	+	melanocortin 3 receptor	K04201/K03758	  	  
DLM_0117	112315	113754	+	arginine:ornithine antiporter / lysine permease	K03758	potE	E
DLM_0118	113828	115063	+	arginine deiminase [EC:3.5.3.6]	K01478	  	E
DLM_0119	115155	116165	+	ornithine carbamoyltransferase [EC:2.1.3.3]	K00611	  	E
DLM_0120	116196	116336	+	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchanger 1 protein"	K12365	  	  
DLM_0121	116542	117486	+	carbamate kinase [EC:2.7.2.2]	K00926	  	E
DLM_0122	117597	118634	-	NTE family protein	K07001	rssA	R
DLM_0123	118862	119200	+	"PadR family transcriptional regulator, regulatory protein PadR"	K10947	COG1695	K
DLM_0124	119197	120027	+		  	COG4709	S
DLM_0125	120103	120660	-	adenine phosphoribosyltransferase [EC:2.4.2.7]	K00759	apt	F
DLM_0126	120761	122059	-	adenine/guanine/hypoxanthine permease	K06901	COG2252	R
DLM_0127	122227	122856	+	guanylate kinase [EC:2.7.4.8]	K00942	gmk	F
DLM_0128	122926	123132	+	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	K03060	  	K
DLM_0129	123156	125312	+	"GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"	K01139	spoT	TK
DLM_0130	125316	125516	+	sulfur carrier protein	K03154	  	H
DLM_0131	125539	126333	+	thiazole synthase [EC:2.8.1.10]	K03149	thiG	H
DLM_0132	126465	126677	+	small subunit ribosomal protein S21	K02970	  	J
DLM_0133	126785	127231	+	uncharacterized protein	K09117	  	S
DLM_0134	127295	129076	+	DNA primase [EC:2.7.7.101]	K02316	dnaG	L
DLM_0135	129148	131076	+	RNA polymerase primary sigma factor	K03086	rpoS	K
DLM_0137	131586	132854	+		  	gltP	C
DLM_0138	133021	134097	+	L-asparaginase [EC:3.5.1.1]	K01424	ansB	EJ
DLM_0139	134295	135626	-	"two-component system, response regulator AauR"	K17061/K10126	atoC	T
DLM_0140	135619	137478	-	"two-component system, sensor histidine kinase AauS [EC:2.7.13.3]"	K17060/K10125	COG4191	T
DLM_0141	137647	139236	-	methyl-accepting chemotaxis protein	K03406/K03776	tar	T
DLM_0142	139261	139398	-	H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]	K01542	  	  
DLM_0143	139413	140318	-		  	lysR	K
DLM_0144	140436	141671	+	diaminopimelate decarboxylase [EC:4.1.1.20]	K01586	lysA	E
DLM_0145	142012	143130	-	major outer membrane protein P.IB	K18133	ompC	M
DLM_0146	143537	143836	-	hyperosmotically inducible periplasmic protein	K04065	osmY	R
DLM_0147	144016	145344	+	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]	K08304	mltA	M
DLM_0148	145370	146485	+	HlyD family secretion protein	K02005/K03585	acrA	M
DLM_0149	146499	149651	+	"hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"	K03296	  	V
DLM_0150	149754	150608	+		  	hisJ	ET
DLM_0151	150635	151528	-	"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	K03566	lysR	K
DLM_0152	151605	152168	+	chromate transporter	K07240	chrA	P
DLM_0153	152162	152683	+	chromate transporter	K07240	chrA	P
DLM_0154	152798	153766	+		  	desA	I
DLM_0155	153747	154808	+	uroporphyrinogen decarboxylase [EC:4.1.1.37]	K01599	hemE	H
DLM_0156	155248	157473	+	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]	K04066	priA	L
DLM_0157	157473	158900	+	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	K07259	dacB	M
DLM_0158	158942	159184	+	glutaredoxin 3	K03676	grxC	O
DLM_0159	159322	159774	+	preprotein translocase subunit SecB	K03071	secB	U
DLM_0160	159774	160220	+	SH3 domain protein	K07184	COG3807	S
DLM_0161	160224	161228	+	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	K00057	gpsA	C
DLM_0162	161313	161543	-	cation/acetate symporter	K14393/K04773	  	  
DLM_0163	161730	162275	-	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	K11065	tpx	O
DLM_0164	162397	163536	-		  	  	  
DLM_0165	163533	164429	-	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	K02687	prmA	J
DLM_0166	164429	165787	-	"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	K01961	accC	I
DLM_0167	165886	166350	-	acetyl-CoA carboxylase biotin carboxyl carrier protein	K02160	  	I
DLM_0168	166385	166816	-	3-dehydroquinate dehydratase II [EC:4.2.1.10]	K03786	  	E
DLM_0169	166997	167131	-	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894	  	  
DLM_0170	167135	168166	+	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	K07568	queA	J
DLM_0171	168193	168564	+		  	COG3536	S
DLM_0172	168567	169301	+	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	K03183	  	H
DLM_0173	169313	169942	+	homoserine/homoserine lactone efflux protein	K05834	rhtB	E
DLM_0174	169969	170547	+	ubiquinone biosynthesis accessory factor UbiJ	K03690	COG3165	S
DLM_0175	170567	172093	+	ubiquinone biosynthesis protein	K03688	aarF	R
DLM_0176	172172	172852	-	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	K01029	atoA	I
DLM_0177	172855	173568	-	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	K01028	atoD	I
DLM_0178	173588	174364	-	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	K00019	fabG	IQR
DLM_0179	174426	175817	-		  	gntT	GE
DLM_0180	176108	177523	-		  	rocR	KT
DLM_0181	177659	178018	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG0599	S
DLM_0182	178110	178532	-	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	K09008	COG3737	S
DLM_0183	178646	179953	+	alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]	K14260	COG0436	E
DLM_0184	180093	181403	+	homoserine dehydrogenase [EC:1.1.1.3]	K00003	thrA	E
DLM_0185	181470	181802	+	centromere protein F	K11499	  	  
DLM_0186	181870	183279	+	threonine synthase [EC:4.2.3.1]	K01733	thrC	E
DLM_0187	183453	184127	+	flagellar basal body P-ring formation protein FlgA	K02386	flgA	NO
DLM_0188	184198	184497	+	negative regulator of flagellin synthesis FlgM	K02398	flgM	KNU
DLM_0189	184523	184987	+	flagellar biosynthesis protein FlgN	K02399/K01869	COG3418	NUO
DLM_0190	185024	186016	+	adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	K02227	cbiB	H
DLM_0191	186139	187551	+	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	K11927	srmB	LKJ
DLM_0192	187677	188243	-	L-lactate dehydrogenase complex protein LldG	K00782	COG1556	S
DLM_0193	188240	189640	-	L-lactate dehydrogenase complex protein LldF	K18929	COG1139	C
DLM_0194	189637	190437	-	L-lactate dehydrogenase complex protein LldE	K18928	glpC	C
DLM_0195	190486	191823	-	methyl-accepting chemotaxis protein	K03406	tar	T
DLM_0196	192177	192302	-	Rad and Gem related GTP binding protein 1	K07847	  	  
DLM_0197	192378	192716	+	acetoacetyl-CoA synthetase [EC:6.2.1.16]	K01907/K02304	  	  
DLM_0199	193422	195335	-	selenocysteine-specific elongation factor	K03833	  	J
DLM_0200	195332	196270	-	ferrous-iron efflux pump FieF	K13283	mMT1	P
DLM_0201	196460	196789	+	membrane protein GlpM	K02442	glpM	R
DLM_0202	196786	198204	-	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]	K01042	selA	E
DLM_0203	198214	198441	-	topoisomerase (DNA) II binding protein 1	K10728/K03466	  	  
DLM_0204	198514	199530	+		  	COG2334	R
DLM_0205	199558	200793	-		  	cheY	T
DLM_0206	200784	201845	-	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	K03412	cheB	NT
DLM_0207	201842	202414	-	chemotaxis protein CheD [EC:3.5.1.44]	K03411	cheD	NT
DLM_0208	202429	202950	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
DLM_0209	202943	203527	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
DLM_0210	203537	205183	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_0211	205180	207348	-	"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	cheA	NT
DLM_0212	207338	207628	-	anti-sigma B factor antagonist	K04749/K24313	spoIIAA	T
DLM_0213	207637	208110	-	"two-component system, chemotaxis family, chemotaxis protein CheY"	K03413/K12128	cheY	T
DLM_0214	208110	208235	-	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	K03215/K12604	  	  
DLM_0215	208270	209190	-	FdhE protein	K02380	fdhE	O
DLM_0216	209187	209816	-	formate dehydrogenase subunit gamma	K00127	fdnI	C
DLM_0217	209813	210688	-	formate dehydrogenase iron-sulfur subunit	K00124/K08349	hybA	C
DLM_0218	210698	213754	-	"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"	K08348/K00123	bisC	C
DLM_0219	213952	214776	+	FdhD protein	K02379	fdhD	C
DLM_0220	214737	214919	-	adenylosuccinate synthase [EC:6.3.4.4]	K01939/K21573	  	  
DLM_0221	214947	216173	+	aspartate kinase [EC:2.7.2.4]	K00928	lysC	E
DLM_0225	216620	217630	-	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	K12972	  	  
DLM_0226	218009	218932	+	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	K12972	serA	HE
DLM_0227	218926	219600	-	lipoprotein YgeR	K12943/K06194	nlpD	M
DLM_0228	219706	219951	+	CDGSH iron-sulfur domain-containing protein 3	K23886	COG3369	S
DLM_0229	220017	221684	-	energy-dependent translational throttle protein EttA	K06020	uup	R
DLM_0230	221771	222250	-	uncharacterized protein	K09793	COG2839	S
DLM_0231	222350	224407	-	polyphosphate kinase [EC:2.7.4.1]	K00937	ppk	P
DLM_0232	224475	224747	-		  	COG2924	CO
DLM_0233	224845	226152	-	amino-acid N-acetyltransferase [EC:2.3.1.1]	K14682	argA	E
DLM_0234	226306	227733	-	carboxyl-terminal processing protease [EC:3.4.21.102]	K03797	prc	M
DLM_0235	227766	229163	-	murein hydrolase activator	K22719	COG4942	D
DLM_0236	229197	230726	-	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	K15633	gpmI	G
DLM_0237	230831	231127	+	"ArsR family transcriptional regulator, virulence genes transcriptional regulator"	K22042	arsR	K
DLM_0238	231175	231630	-		  	  	  
DLM_0239	231713	233068	-	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	K03601	xseA	L
DLM_0240	233451	234074	+	biopolymer transport protein ExbB	K03561	  	U
DLM_0241	234071	234490	+	biopolymer transport protein ExbD	K03559	  	U
DLM_0242	234487	235690	+	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	K00912	COG2835	S
DLM_0243	235687	236448	+	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	K00979	  	M
DLM_0244	236528	237184	+	adenylate kinase [EC:2.7.4.3]	K00939	adk	F
DLM_0245	237417	238034	+	hemolysin III	K11068	COG1272	R
DLM_0246	238100	239683	-	putative two-component system response regulator	K07814	COG3437	T
DLM_0247	239680	241176	-	"two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"	K02482	baeS	T
DLM_0248	241411	242367	-		  	rhaT	GER
DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
DLM_0250	243986	244606	-	flavin prenyltransferase [EC:2.5.1.129]	K03186	ubiX	H
DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
DLM_0254	247032	247355	-	putative sigma-54 modulation protein	K05808	COG1544	J
DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
DLM_0256	248853	249584	-	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	K06861	yhbG	R
DLM_0257	249581	250135	-	lipopolysaccharide export system protein LptA	K09774	COG1934	S
DLM_0258	250125	250685	-	lipopolysaccharide export system protein LptC	K11719	COG3117	S
DLM_0259	250682	251206	-	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	K03270	  	R
DLM_0260	251225	252205	-	arabinose-5-phosphate isomerase [EC:5.3.1.13]	K06041	COG0517	R
DLM_0261	252421	254388	+	"monovalent cation:H+ antiporter-2, CPA2 family"	K03455	COG3273	S
DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
DLM_0263	257116	258768	-	"sulfate permease, SulP family"	K03321	sUL1	P
DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
DLM_0265	260332	261285	+		  	lysR	K
DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
DLM_0267	263343	263546	-	kinesin family member 5	K10396/K07101	  	  
DLM_0268	263878	264243	-		  	COG1733	K
DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
DLM_0271	266333	267340	+		  	tas	C
DLM_0273	267840	268406	+		  	  	  
DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
DLM_0276	270429	271691	+		  	mntH	P
DLM_0277	271725	272789	+		  	terC	P
DLM_0278	272917	274176	+		  	  	  
DLM_0279	274222	274890	-		  	serB	E
DLM_0280	274890	275894	-	putative spermidine/putrescine transport system ATP-binding protein	K02052	potA	E
DLM_0281	275922	276713	-	putative spermidine/putrescine transport system permease protein	K02053	potC	E
DLM_0282	276710	277621	-	putative spermidine/putrescine transport system permease protein	K02054	COG4132	R
DLM_0283	277787	278884	-	putative spermidine/putrescine transport system substrate-binding protein	K02055	afuA	P
DLM_0284	279023	279823	+		  	phnF	K
DLM_0285	280010	280519	+	calmodulin-binding transcription activator	K21596	  	  
DLM_0286	280584	281126	+	YTH domain-containing protein 1	K20100	  	  
DLM_0287	281160	282248	+	L-asparaginase [EC:3.5.1.1]	K01424/K13278	ansB	EJ
DLM_0288	282833	282988	-	autism susceptibility gene 2 protein	K23214	  	  
DLM_0289	283147	283704	+	"HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"	K06211	nadR	H
DLM_0290	283905	284120	+	ribosome-associated protein	K14761	COG2501	S
DLM_0291	284120	284305	+		  	  	  
DLM_0292	284309	285175	+	"3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	K07053	COG0613	R
DLM_0293	285196	285816	+	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	K07566	sUA5	J
DLM_0294	285889	286530	+		  	spoIVFB	R
DLM_0295	286545	287741	+	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	K01867	trpS	J
DLM_0296	288197	289189	-		  	COG4874	S
DLM_0297	289290	290186	+		  	lysR	K
DLM_0298	290183	291013	+	segregation and condensation protein A	K05896	scpA	S
DLM_0299	291159	291791	+	segregation and condensation protein B	K06024	scpB	K
DLM_0300	291823	293370	+	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	K06178	  	J
DLM_0301	293367	293933	+	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	K03574	COG1051	F
DLM_0302	294000	294554	+	transcription elongation factor GreB	K04760	COG0782	K
DLM_0303	294634	295089	-		  	marR	K
DLM_0304	295289	296443	+	2-aminoadipate transaminase [EC:2.6.1.-]	K05825	aRO8	KE
DLM_0305	296512	297453	-	"LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"	K04761	lysR	K
DLM_0306	297457	297714	-	cell division topological specificity factor	K03608	minE	D
DLM_0307	297718	298530	-	septum site-determining protein MinD	K03609	  	D
DLM_0308	298553	299275	-	septum site-determining protein MinC	K03610	  	D
DLM_0309	299542	299673	-		  	  	  
DLM_0310	299629	300198	+		  	  	  
DLM_0311	300294	301025	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033	gnd	G
DLM_0312	301034	301933	-		  	lysR	K
