"nc"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"
7864	4	0	0	6	2	0	0	DLM_0012	7722	8036	+	FAD synthetase [EC:2.7.7.2]	K00953/K02834	NA	NA
7949	1446	1462	86	954	1019	80	2612	DLM_0012	7722	8036	+	FAD synthetase [EC:2.7.7.2]	K00953/K02834	NA	NA
8251	0	1	0	0	2	12	0	DLM_0013	8121	8360	+	pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]	K01250/K12843	NA	NA
8367	1379	1514	72	858	961	60	2485	DLM_0014	8344	8751	-	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	K10914/K19348	NA	NA
8379	2064	1964	147	1157	1120	64	3297	DLM_0014	8344	8751	-	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	K10914/K19348	NA	NA
8417	1589	1457	57	875	989	53	2341	DLM_0014	8344	8751	-	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	K10914/K19348	NA	NA
8440	443	465	24	367	426	10	778	DLM_0014	8344	8751	-	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	K10914/K19348	NA	NA
8612	2630	2627	243	1688	1761	74	4269	DLM_0014	8344	8751	-	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	K10914/K19348	NA	NA
8812	609	581	49	496	463	13	971								
8969	290	236	34	208	212	3	406								
9201	758	696	45	557	580	31	1232	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9430	1180	1227	106	813	841	27	1939	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9455	536	494	46	481	473	5	967	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9469	132	148	2	95	85	2	255	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9619	192	165	9	154	111	3	305	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9636	314	306	29	233	179	11	494	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9671	2039	2107	93	1228	1205	47	3062	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9677	1298	1216	102	966	933	41	2136	DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	NA	NA
9769	1534	1365	102	840	872	46	2265								
9805	521	528	24	268	347	11	751								
9809	819	787	40	424	417	17	1248								
9986	1602	1492	90	711	696	6	2871	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10128	906	721	22	319	258	4	1187	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10207	484	489	11	240	171	3	824	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10394	985	996	90	442	452	23	1702	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10467	313	348	20	171	199	1	632	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10650	762	633	24	290	324	3	1209	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10680	756	690	38	291	269	4	1273	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10739	859	687	84	438	334	5	1347	DLM_0016	9885	10739	-	NA	NA	COG1561	S
10743	509	505	29	213	200	5	853								
10807	1008	1165	79	554	433	9	1896								
10833	950	916	42	470	411	11	1596								
10905	1936	2099	93	1312	1466	87	2927	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
10950	408	406	28	252	263	27	603	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
10995	388	386	4	264	341	11	565	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11129	831	768	44	432	560	48	1149	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11176	8	4	0	3	0	5	2	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11349	1064	1110	27	860	908	42	1696	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11374	929	661	42	733	804	62	1409	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11441	1547	1660	188	1126	1325	72	2595	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11504	664	623	28	448	583	62	1005	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11508	3459	3472	199	2250	2442	182	5265	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11529	563	542	27	277	309	22	858	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11622	506	522	30	445	561	31	874	DLM_0017	10851	11819	+	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	sps1	RTKL
11837	753	703	29	254	279	64	1016	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
11843	445	449	71	357	316	100	682	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
11845	3	1	0	6	1	0	6	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
11875	1222	1288	302	1133	951	299	2226	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12007	140	165	31	170	164	71	258	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12166	141	150	38	130	112	37	259	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12196	340	311	46	305	331	80	574	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12322	583	620	128	510	488	184	961	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12630	135	98	4	92	81	2	169	DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
12863	1127	1158	124	686	853	63	1828	DLM_0019	12806	13522	+	ribonuclease PH [EC:2.7.7.56]	K00989	rph	J
13520	436	425	21	194	241	10	680	DLM_0019	12806	13522	+	ribonuclease PH [EC:2.7.7.56]	K00989	rph	J
13595	3	2	0	1	1	0	3	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
13598	1520	1445	59	882	940	23	2433	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
13874	562	540	64	313	213	15	842	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
13889	602	623	55	457	359	20	955	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
14015	1248	1395	220	1096	897	53	2255	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
14017	9574	9462	781	6134	4684	282	14104	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
14181	3	1	0	0	2	0	4	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
14213	1694	1838	130	1283	904	49	2811	DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
14436	1370	1394	95	718	663	29	2113								
14443	1417	1300	79	902	915	58	2152								
14481	160	185	16	99	104	1	245	DLM_0021	14480	15532	-	colicin import membrane protein	K03646/K19521	NA	NA
14608	179	161	27	102	112	0	272	DLM_0021	14480	15532	-	colicin import membrane protein	K03646/K19521	NA	NA
15410	330	322	27	301	251	16	623	DLM_0021	14480	15532	-	colicin import membrane protein	K03646/K19521	NA	NA
15584	263	290	4	255	196	21	545								
15643	398	352	20	271	264	8	642								
15835	73	62	0	58	77	0	118	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
15861	5	1	0	2	2	0	10	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
15941	122	109	3	96	182	5	228	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16006	4	0	0	4	4	0	4	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16030	1100	1089	76	917	1147	101	1863	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16069	1424	1156	52	1003	1060	75	2280	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16347	233	223	21	136	159	16	279	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16483	817	730	34	443	427	32	1221	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16501	338	347	39	265	325	15	622	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16526	307	293	7	253	301	10	488	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16562	510	443	12	381	489	37	745	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16589	209	182	0	179	193	21	316	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16622	262	246	21	190	221	7	438	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16688	1	1	0	2	4	3	3	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16813	20	18	3	12	12	0	34	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16840	396	359	8	327	416	38	738	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16902	425	378	28	229	296	15	629	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
16916	256	199	2	117	132	9	396	DLM_0022	15670	16941	-	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	K07639	baeS	T
17059	267	282	7	277	307	33	472	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17081	694	626	6	252	252	33	1081	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17155	407	352	0	216	247	42	588	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17304	570	548	23	624	689	116	1037	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17366	227	199	0	190	196	32	413	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17506	3	6	0	3	4	0	0	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17512	280	217	0	236	294	46	425	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17644	1062	1093	16	1037	1290	278	1955	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17654	1129	1120	22	1070	1277	191	1813	DLM_0023	16945	17661	-	two-component system, OmpR family, response regulator RstA	K07661	ompR	TK
17700	353	381	0	363	400	61	645								
17716	619	500	16	344	337	70	867								
17757	281	216	7	111	103	6	347								
17806	1263	1056	82	898	914	36	1920								
17823	3298	2994	306	1979	2182	125	4751								
17888	200	202	19	167	175	15	375								
17906	5	9	0	10	4	0	9								
17963	59	73	2	49	57	2	107								
18399	569	620	46	50	26	0	965	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18417	673	637	47	462	479	25	1250	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18564	1046	1021	37	495	586	29	1576	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18796	327	310	21	267	271	6	563	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18896	1133	1153	86	707	735	46	1859	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18920	3	2	0	4	1	0	6	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18965	1127	1227	37	787	708	37	2015	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18980	164	182	0	109	114	2	310	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
18986	1178	1193	55	782	882	44	1979	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19155	1239	1162	142	737	705	29	2014	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19179	357	331	16	188	223	45	596	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19208	2567	2413	172	1568	1645	81	4677	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19251	742	788	20	380	405	18	1074	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19325	4	8	0	2	2	0	4	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19567	500	540	52	344	417	21	794	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19784	261	282	8	69	82	4	338	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
19800	111	99	5	55	72	3	145	DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
20521	148	138	12	97	76	4	264								
20555	305	293	36	216	215	16	441								
20760	11	3	0	10	6	0	11	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
20787	980	784	47	563	545	32	1543	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21031	169	172	8	144	138	3	308	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21105	11	7	0	6	8	0	8	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21158	1409	1390	60	942	1096	49	2206	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21162	368	391	6	276	349	9	641	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21183	896	908	95	555	692	25	1542	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21268	190	210	8	119	124	5	318	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21303	952	947	54	703	791	34	1710	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21389	536	553	62	360	398	6	917	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21393	1985	2048	101	1296	1534	50	3779	DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
21627	446	471	38	299	270	12	761	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
21681	1273	1176	79	884	949	43	2044	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
21795	2072	2060	106	1450	1477	74	3617	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22065	892	702	50	467	566	25	1406	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22087	540	463	17	324	365	14	895	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22323	1208	1095	48	600	699	29	1731	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22523	8	0	0	0	0	0	2	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22611	836	811	57	617	654	55	1363	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22736	1783	1715	125	1217	1429	38	3036	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
22986	254	259	19	216	278	9	494	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
23148	1000	977	48	666	768	24	1766	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
23220	769	800	61	547	658	27	1453	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
23264	445	413	49	299	330	7	712	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
23280	1354	1384	58	821	946	52	2353	DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
