"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"insertion_num"	"log2FC_3h"	"pval_3h"	"qval_3h"	"res_3h"	"log2FC_7d"	"pval_7d"	"qval_7d"	"res_7d"
"DLM_0017"	10851	11819	"+"	"serine/threonine protein kinase, bacterial [EC:2.7.11.1]"	"K08884"	"sps1"	"RTKL"	29.2517814726841	30.3589108910891	31.3913043478261	29.5228070175439	32.7876712328767	47.3571428571429	29.3498452012384	12	0.00590221847452841	0.253920285445151	0.521387884340629	NA	0.586562701374235	0.00253231321286395	0.0286573861768794	NA
"DLM_0018"	11830	12723	"+"	"PPM family protein phosphatase [EC:3.1.3.16]"	"K20074"	"ptc1"	"T"	8.95724465558195	9.39108910891089	28.6086956521739	10.4070175438596	9.35616438356164	60.4285714285714	9.53560371517028	9	1.57967028880965	0.0220628479162806	0.190139990765416	NA	2.45661677617004	0.00130534757354055	0.0167418321567168	"Enriched"
"DLM_0019"	12806	13522	"+"	"ribonuclease PH [EC:2.7.7.56]"	"K00989"	"rph"	"J"	3.71733966745843	3.92326732673267	6.39130434782609	3.09473684210526	3.75342465753425	5.35714285714286	3.88544891640867	2	0.686846449451098	0.643988466324368	0.657692985154484	NA	0.708887071132772	0.412095608837114	0.435563965087385	NA
"DLM_0020"	13575	14393	"-"	"protease YdgD [EC:3.4.21.-]"	"K04775"	"COG3591"	"E"	36.1377672209026	37.9059405940594	57.2608695652174	35.6982456140351	27.4246575342466	32.1428571428571	36.2461300309598	8	0.56761505488027	0.0965426204756824	0.384065200257774	NA	-0.240115761438429	0.0791376716824654	0.242995912578903	NA
"DLM_0021"	14480	15532	"-"	"colicin import membrane protein"	"K03646/K19521"	NA	NA	1.59619952494062	1.66089108910891	3.17391304347826	1.7719298245614	1.60958904109589	1.42857142857143	1.76934984520124	3	0.896628182535971	0.0678035770205029	0.330386369753465	NA	-0.393508256557382	0.236793627417066	0.358985134480527	NA
"DLM_0022"	15670	16941	"-"	"two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"	"K07639"	"baeS"	"T"	15.4869358669834	14.490099009901	14.0869565217391	16.2526315789474	18.7157534246575	28.7142857142857	16.1455108359133	18	-0.255653231881685	0.0420415173051172	0.264675471610896	NA	0.720487067816565	0.0562855531868511	0.203925010901473	NA
"DLM_0023"	16945	17661	"-"	"two-component system, OmpR family, response regulator RstA"	"K07661"	"ompR"	"TK"	11.0403800475059	11.019801980198	3.60869565217391	13.7333333333333	15.6335616438356	55.7142857142857	12.0634674922601	9	-1.72447920581277	0.00245625887000818	0.0497383965756062	"Depleted"	1.93722985206137	1.97830886703793e-06	7.31911937246151e-05	"Enriched"
"DLM_0024"	17967	19859	"+"	"methyl-accepting chemotaxis protein"	"K03406"	"tar"	"S"	28.5463182897862	29.6658415841584	33.0869565217391	24.6421052631579	25.2397260273973	29.0714285714286	31.2414860681115	17	0.115248720741486	0.353137332387024	0.570692262450756	NA	0.150253935459138	0.901640557999662	0.551194369648891	NA
"DLM_0025"	19878	20051	"-"	"Niemann-Pick C1 protein"	"K12385/K03616"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0026"	20229	20474	"-"	"ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"	"K06949/K01011"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0027"	20607	21494	"+"	"cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]"	"K02297"	"cyoA"	"C"	17.8574821852732	18.3762376237624	19.6521739130435	17.4912280701754	19.4931506849315	16	20.1145510835913	11	0.0413819753226375	0.652672112901093	0.657853547321375	NA	-0.21903993889272	0.0619272359306371	0.216671397985285	NA
"DLM_0028"	21498	23540	"+"	"cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]"	"K02298"	"cyoB"	"C"	35.7220902612827	35.9678217821782	39.4347826086957	34.280701754386	36.7568493150685	35.6428571428571	39.1377708978328	18	0.0460097099751516	0.990962070823845	0.725817260482654	NA	-0.029233259456836	0.308237475538753	0.393346640398133	NA
"DLM_0029"	23555	24166	"+"	"cytochrome o ubiquinol oxidase subunit III"	"K02299"	"cyoC"	"C"	16.3444180522565	15.5891089108911	19.7826086956522	16.8491228070175	17.0205479452055	17.1428571428571	18.0712074303406	7	0.177686393423679	0.810242127586615	0.693005676739317	NA	-0.062045909239063	0.520105744685958	0.469985074108694	NA
"DLM_0030"	24166	24489	"+"	"cytochrome o ubiquinol oxidase subunit IV"	"K02300"	"cyoD"	"C"	3.90261282660333	3.83910891089109	7.04347826086956	4.33684210526316	4.48287671232877	5.85714285714286	4.47368421052632	2	0.756854284369264	0.514362831760429	0.628000723973126	NA	0.350792202908121	0.486418132981326	0.457822298563658	NA
"DLM_0031"	24501	25385	"+"	"heme o synthase [EC:2.5.1.141]"	"K02257"	"cyoE"	"O"	9.3895486935867	9.76485148514852	10.2173913043478	9.96140350877193	9.9041095890411	7.21428571428571	10.9674922600619	7	0.0214836350404479	0.824094196867226	0.696561319303793	NA	-0.561591019305222	0.143663529175006	0.308853495145492	NA
"DLM_0032"	26043	26975	"-"	NA	NA	NA	NA	7.26365795724466	7.65346534653465	8.34782608695652	7.23157894736842	8.02054794520548	8.14285714285714	8.31578947368421	4	0.105710855795065	0.877639281179058	0.706859024036384	NA	0.0884644508198976	0.468432347851666	0.44952128015432	NA
"DLM_0033"	28424	31195	"-"	"type VI secretion system secreted protein VgrG"	"K11904"	"vgrG"	"S"	5.02375296912114	4.76237623762376	5.21739130434783	4.65263157894737	5	5.92857142857143	5.27244582043344	5	-0.0585256252291612	0.477626946196497	0.619205540653583	NA	0.238231014833221	0.478225710756927	0.453952520589042	NA
"DLM_0034"	31794	32747	"+"	"tRNA-dihydrouridine synthase A [EC:1.-.-.-]"	"K05539"	"COG0042"	"J"	26.2874109263658	25.7227722772277	22.4782608695652	22.9649122807018	23.75	19.7142857142857	27.1269349845201	13	-0.330605838346491	0.265758309905249	0.527498851254872	NA	-0.322246914392311	0.00490196217880728	0.0481151629843791	NA
"DLM_0035"	32830	33423	"+"	"XTP/dITP diphosphohydrolase [EC:3.6.1.66]"	"K02428"	"COG0127"	"F"	7.0166270783848	7.51732673267327	8.73913043478261	6.12982456140351	6.43493150684932	5.21428571428571	7.1702786377709	4	0.221718626848854	0.157569721271477	0.456426391243672	NA	-0.31613610784233	0.135715105745134	0.304304922784159	NA
"DLM_0036"	33420	34661	"+"	"oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"	"K02495"	NA	"H"	31.1852731591449	31.9133663366337	26.4782608695652	28.9122807017544	28.6643835616438	35.7142857142857	32.9210526315789	14	-0.330401167695049	0.00615671213633501	0.0910772381305582	NA	0.219341828864163	0.920056857209719	0.555742110856106	NA
"DLM_0037"	34662	35045	"+"	"2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"	"K09022"	"tdcF"	"J"	4.55344418052257	4.2970297029703	2.08695652173913	3.18245614035088	3.22945205479452	4.35714285714286	4.44117647058824	2	-1.22055107451228	0.167193697078727	0.460422928531328	NA	0.370481823228776	0.73731881750467	0.522666445007017	NA
"DLM_0038"	35189	35617	"+"	"mitogen-activated protein kinase kinase kinase kinase 4 [EC:2.7.11.1]"	"K04407/K07496"	NA	NA	9.54869358669834	8.6460396039604	13.6521739130435	9.67368421052632	9.67808219178082	10.6428571428571	9.28328173374613	6	0.42076200926005	0.271389310990828	0.531685880409688	NA	0.0549881946463832	0.591230887684728	0.487425685564496	NA
"DLM_0039"	35630	36466	"+"	"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	"K06998"	"COG0384"	"R"	12.5106888361045	13.1831683168317	8.78260869565217	10.2140350877193	10.5205479452055	13.3571428571429	12.6455108359133	6	-0.605433214967448	0.503962844601505	0.624354040161116	NA	0.304298561959283	0.0252027201948345	0.133245111705932	NA
"DLM_0040"	36565	36999	"+"	NA	NA	"COG4731"	"S"	10.3206650831354	10.4183168316832	10.6521739130435	9.20701754385965	9.62328767123288	10	10.6965944272446	6	-0.0493814762644778	0.383128461452536	0.581453277189727	NA	0.036434238521295	0.792806681751674	0.531624307440826	NA
"DLM_0041"	37078	39126	"+"	"ATP-dependent DNA helicase RecG [EC:3.6.4.12]"	"K03655"	"recG"	"LK"	15.5534441805226	15.6089108910891	13.2173913043478	9.34035087719298	9.01369863013699	10.9285714285714	14.8715170278638	16	-0.334102857137099	0.02044666462351	0.186848623194553	NA	0.124122186334244	0.945767563556768	0.561954185206021	NA
"DLM_0042"	39391	40857	"-"	"low-affinity inorganic phosphate transporter"	"K16322"	"pitA"	"P"	10.5985748218527	10.7846534653465	32.9130434782609	10.6947368421053	10.4109589041096	5.71428571428571	11.9442724458204	18	1.5423998499278	5.95858603345839e-05	0.00300417072477533	"Enriched"	-1.06111878479744	7.93817414401275e-05	0.00162121689146764	"Depleted"
"DLM_0043"	41109	41873	"-"	"phosphate transport system ATP-binding protein [EC:7.3.2.1]"	"K02036"	"pstB"	"P"	12.3396674584323	13.0495049504951	11.1739130434783	14.5578947368421	14.5787671232877	23	12.6904024767802	7	-0.238162438162982	0.699227911489828	0.664901150763045	NA	0.577072162437379	0.9230018357166	0.55597178250057	NA
"DLM_0044"	41886	42797	"-"	"phosphate transport system permease protein"	"K02038"	"pstA"	"P"	18.5154394299287	18.5371287128713	17	19.119298245614	19.1198630136986	27.1428571428571	20.3544891640867	10	-0.220956252764707	0.263450478081048	0.527237504666775	NA	0.41951111252506	0.855778669075919	0.541389268225084	NA
"DLM_0045"	42813	43775	"-"	"phosphate transport system permease protein"	"K02037"	"pstC"	"P"	10.1068883610451	10.2574257425743	14.304347826087	12.319298245614	12.236301369863	7.5	10.9396284829721	9	0.378149268643953	0.967648137140464	0.721420702145698	NA	-0.830228285959777	0.00107318991016502	0.0144517854758413	NA
"DLM_0046"	43893	44933	"-"	"phosphate transport system substrate-binding protein"	"K02040"	"pstS"	"P"	27.6603325415677	30.0965346534653	27.695652173913	30.5157894736842	29.8184931506849	21.7142857142857	29.8885448916409	15	-0.0931524104072141	0.326182675069093	0.5599285382593	NA	-0.573671379144555	0.014914157396769	0.0982616261666739	NA
"DLM_0047"	45097	45843	"+"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"K01803"	"tpiA"	"G"	2.08788598574822	1.86881188118812	0.347826086956522	0.364912280701754	0.0924657534246575	0.357142857142857	1.62229102167183	5	-2.85341221472952	0.0131524242880376	0.144411163723884	NA	-1.22714987013526	NA	NA	NA
"DLM_0049"	46390	46746	"+"	"NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]"	"K00330"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0050"	46737	47213	"+"	"NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"	"K00331"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0051"	47225	47821	"+"	"NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]"	"K00332"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0052"	47814	49067	"+"	"NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]"	"K00333"	"nuoD"	"C"	0.00950118764845606	0.00247524752475248	0.0434782608695652	0.0175438596491228	0.00684931506849315	0.0714285714285714	0.00619195046439629	1	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0053"	49067	49567	"+"	"NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]"	"K00334"	"nuoE"	"C"	0.0285035629453682	0.0198019801980198	0.0869565217391304	0.0210526315789474	0.0205479452054795	0.142857142857143	0.00773993808049536	2	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0054"	49567	50862	"+"	"NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]"	"K00335"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0055"	50866	53220	"+"	"NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"	"K00336"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0056"	53224	54270	"+"	"NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]"	"K00337"	"nuoH"	"C"	0.00950118764845606	0.00495049504950495	0.0434782608695652	0.00701754385964912	0.00684931506849315	0.0714285714285714	0.00928792569659443	1	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0057"	54288	54776	"+"	"NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]"	"K00338"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0058"	54786	55430	"+"	"NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]"	"K00339"	"nuoJ"	"C"	0.0190023752969121	0.0247524752475248	0.0869565217391304	0.0350877192982456	0.023972602739726	0.642857142857143	0.0247678018575851	2	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0059"	55457	55762	"+"	"NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"	"K00340"	NA	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0060"	55798	57828	"+"	"NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"	"K00341"	"nuoL"	"CP"	0.0118764845605701	0.0148514851485149	0.0869565217391304	0.0491228070175439	0.023972602739726	0.142857142857143	0.0185758513931889	2	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0061"	57872	59368	"+"	"NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]"	"K00342"	"nuoM"	"C"	0.0190023752969121	0.0099009900990099	0.0869565217391304	0.0245614035087719	0.0171232876712329	0.142857142857143	0.021671826625387	2	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0062"	59392	60846	"+"	"NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]"	"K00343"	"nuoN"	"C"	0.356294536817102	0.336633663366337	0.434782608695652	0.312280701754386	0.267123287671233	0.357142857142857	0.309597523219814	5	-0.270112763231005	NA	NA	NA	-1.86457979075055	NA	NA	NA
"DLM_0063"	60862	61158	"+"	NA	NA	NA	NA	0.909738717339667	0.782178217821782	0.91304347826087	0.76140350877193	0.753424657534247	0.5	0.831269349845201	1	-0.0897621127114829	NA	NA	NA	-0.689493084192463	NA	NA	NA
"DLM_0064"	61381	62247	"-"	"Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"	"K02517"	"htrB"	"M"	16.6722090261283	16.1683168316832	59.5217391304348	25.0491228070175	16.6609589041096	22.5714285714286	21.1052631578947	11	1.73948554159604	0.000146684919864952	0.00596395658869242	"Enriched"	-0.240362386245211	0.12886155516719	0.29868495847197	NA
"DLM_0065"	62244	63014	"-"	"Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"	"K02517"	"htrB"	"M"	1.13776722090261	1.25247524752475	3.8695652173913	4.16842105263158	2.01027397260274	1.64285714285714	1.41950464396285	5	1.7028607541865	0.292288715996448	0.542920900156591	NA	-1.42605393854934	0.372721753676996	0.424544449951026	NA
"DLM_0066"	63215	64384	"+"	"S-adenosylmethionine synthetase [EC:2.5.1.6]"	"K00789"	"metK"	"H"	2.09501187648456	1.97029702970297	2.30434782608696	1.9859649122807	2.37328767123288	1.57142857142857	2.20897832817337	1	0.0424066554403928	NA	NA	NA	-0.420523398000173	NA	NA	NA
"DLM_0067"	64532	65842	"-"	"ammonium transporter, Amt family"	"K03320"	"amtB"	"P"	24.562945368171	25.6064356435644	16.7391304347826	18.5859649122807	16.6643835616438	8.92857142857143	27.3343653250774	11	-0.65074838096213	0.0316395259923721	0.226562667219998	NA	-1.15097040205359	0.000352743015539718	0.00580016886937904	"Depleted"
"DLM_0068"	65873	66211	"-"	"nitrogen regulatory protein P-II 2"	"K04752"	"glnK"	"E"	3.42755344418052	3.60148514851485	2.34782608695652	2.30175438596491	1.99315068493151	1.07142857142857	4.07430340557276	4	-0.640847035893015	0.316806963042529	0.555470757397877	NA	-1.22485805862727	0.141451089186193	0.307490074498104	NA
"DLM_0069"	66480	66767	"+"	"ubiquinone biosynthesis accessory factor UbiK"	"K09806"	NA	"S"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0070"	66774	68273	"+"	"magnesium chelatase family protein"	"K07391"	"COG0606"	"O"	18.9691211401425	18.3663366336634	22.2608695652174	18.0140350877193	19.1609589041096	17.9285714285714	20.2260061919505	16	0.135863689801666	0.548517575553286	0.634702404764237	NA	-0.08692510290837	0.263854290237569	0.378248550096594	NA
"DLM_0071"	68347	69099	"+"	"DedD protein"	"K03749"	"ftsN"	"D"	0.00712589073634204	0.00495049504950495	0.0434782608695652	0.0175438596491228	0.00342465753424658	0.142857142857143	0.00619195046439629	1	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0072"	69105	69743	"+"	"protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]"	"K03673"	"dsbG"	"O"	1.94536817102138	1.82673267326733	1.26086956521739	1.64210526315789	1.3972602739726	2	1.91486068111455	5	-0.720617600078723	0.038572202972338	0.258235356955311	NA	0.159667755496123	0.627384014320884	0.497651249070951	NA
"DLM_0074"	70147	71517	"-"	"adenylosuccinate lyase [EC:4.3.2.2]"	"K01756"	"purB"	"F"	0.0190023752969121	0.0198019801980198	0.304347826086957	0.0105263157894737	0.0136986301369863	0.214285714285714	0.00928792569659443	2	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0075"	71584	72486	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0076"	72534	73889	"-"	"signal recognition particle subunit SRP54 [EC:3.6.5.4]"	"K03106"	NA	"U"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0077"	73998	74819	"+"	NA	NA	"COG4137"	"R"	18.0023752969121	16.7326732673267	22.5217391304348	16.1578947368421	14.0205479452055	10.3571428571429	18.0650154798762	12	0.220956792368631	0.672368241607318	0.661303936507919	NA	-0.760966489627738	0.0096003674074924	0.0733207291021037	NA
"DLM_0078"	74868	75227	"+"	"competence protein ComEA"	"K02237"	"comEA"	"L"	5.97624703087886	6.37871287128713	7.73913043478261	5.64210526315789	6.10958904109589	9.64285714285714	6.26780185758514	6	0.272105847626085	0.173866411419492	0.463819405638375	NA	0.685133984243474	0.565702648574222	0.481344181278248	NA
"DLM_0079"	75284	76420	"-"	"deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]"	"K01669"	"phrB"	"L"	18.3111638954869	18.700495049505	13.8260869565217	17.9438596491228	17.8938356164384	19.7142857142857	19.5278637770898	16	-0.500324010968026	0.00937375201661345	0.118150309618293	NA	0.0529912377309325	0.764757208802855	0.527179851485896	NA
"DLM_0080"	77017	78099	"+"	"major outer membrane protein P.IB"	"K18133"	"ompC"	"M"	0.907363420427553	0.824257425742574	2.26086956521739	1.64561403508772	2.75342465753425	1	0.91640866873065	3	1.15924203887229	NA	NA	NA	-1.00208331450049	NA	NA	NA
"DLM_0081"	78297	80009	"+"	"type IV pilus assembly protein PilB"	"K02652"	"pulE"	"NU"	32.7434679334917	24.7351485148515	5.47826086956522	21.9719298245614	29.1746575342466	23.6428571428571	26.1300309597523	13	-2.69665679202421	0.000488432749882948	0.0134072510638983	"Depleted"	0.0156222026223015	0.926910907165848	0.557257716254864	NA
"DLM_0082"	80030	81250	"+"	"type IV pilus assembly protein PilC"	"K02653"	"pulF"	"NU"	4.57482185273159	5.02475247524753	2.21739130434783	3.65964912280702	1.98972602739726	2.35714285714286	5.31269349845201	11	-1.1669158475606	0.0390717145476049	0.260175282709112	NA	-0.754887502163469	0.029831855131254	0.147051666145078	NA
"DLM_0083"	81253	82121	"+"	"leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"	"K02654"	"pulO"	"NOU"	0.479809976247031	0.405940594059406	0.173913043478261	0.207017543859649	0.10958904109589	0.285714285714286	0.563467492260062	4	-2.38469473082954	0.220600563788968	0.501145963571517	NA	-0.779690893164041	NA	NA	NA
"DLM_0084"	82111	82722	"+"	"dephospho-CoA kinase [EC:2.7.1.24]"	"K00859"	NA	"H"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0085"	82762	83520	"+"	"cell division protein ZapD"	"K18778"	"COG4582"	"S"	2.85748218527316	2.71534653465347	1.65217391304348	1.94385964912281	2.14383561643836	2.57142857142857	3.04334365325077	7	-1.07444253207095	0.00261102652413569	0.0511938997772163	NA	0.112700132749362	NA	NA	NA
"DLM_0086"	83526	83723	"+"	"uncharacterized protein"	"K09862"	"COG3024"	"S"	0.190023752969121	0.193069306930693	1.1304347826087	0.350877192982456	0.311643835616438	0.5	0.224458204334365	1	2.47763266968844	NA	NA	NA	0.428201958477292	NA	NA	NA
"DLM_0087"	83779	85020	"-"	"N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"	"K01448"	"amiC"	"M"	0.0285035629453682	0.0198019801980198	0.130434782608696	0.0385964912280702	0.0342465753424658	0.285714285714286	0.0232198142414861	3	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0088"	84978	85472	"-"	"tRNA threonylcarbamoyladenosine biosynthesis protein TsaE"	"K06925"	NA	"R"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
